,0
IFI44 214453_s_at,0.1364633013121127
CCL22 207861_at,0.1364101226231012
IL17F 234408_at,0.13637616160641267
KRT6B 209126_x_at,0.1363484688762772
HLA-DPB1 244485_at,0.13630198435704233
IL23A 220054_at,0.1360453581771409
CCR7 206337_at,0.13602393533821497
SPRR2G 236119_s_at,0.1349734240179665
XCL1 206366_x_at,0.13387580692580506
TAP2 204769_s_at,0.1335840092966009
IFIH1 1555464_at,0.13357649169839625
DSC1 207324_s_at,0.13278681189728078
CCL8 214038_at,0.13262339570283363
IL17RE 236186_x_at,0.1318976453233263
OAS1 202869_at,0.13170067145103206
IRF7 208436_s_at,0.13146595690583546
IVL 214599_at,0.1310290492580299
IL26 221111_at,0.1308017184411555
CCL27 207955_at,0.1305251259027405
KRT16 209800_at,0.13006070571729852
CARD14 220598_at,0.12983357045670105
ACE 227463_at,0.128744999076303
MX1 202086_at,0.12748960234723297
IFI44 214059_at,0.12739252517303054
PLEK 203470_s_at,0.12710773802125747
LCE3D 224328_s_at,0.1270858229452671
CDSN 206193_s_at,0.12660306534913088
IFNG 210354_at,0.12619351146903185
IL36RN 222223_s_at,0.12618762780053777
RNASE7 234700_s_at,0.12564156531772414
IL12B 207901_at,0.12530769326660743
TLR4 221060_s_at,0.12359982117385067
IL36B 231755_at,0.12339774044822653
IL17A 216876_s_at,0.12331677792191661
OAS1 205552_s_at,0.12321890434205933
IL22 222974_at,0.12286135685807803
SPRR2B 208539_x_at,0.12182160426327877
CXCL9 203915_at,0.12064085530627783
PSORS1C2 220635_at,0.11977079341020981
WFDC12 1553081_at,0.11973466554146248
PI3 41469_at,0.11941353282030552
RORC 228806_at,0.11929902475122896
PI3 203691_at,0.1192082275463017
C10orf99 227736_at,0.11916307714594121
S100A9 203535_at,0.11907057610977087
C10orf99 227735_s_at,0.11864621651495248
CHRM3 1553705_a_at,0.11736526120442192
CHRM3 214596_at,0.1172085506685296
DEFB4A /// DEFB4B 207356_at,0.1161036917437259
SERPINB3 209719_x_at,0.11582061538743185
SERPINB3 209720_s_at,0.11562943427667817
IL36G 220322_at,0.11518421300748262
HLA-DQA1 203290_at,0.11454179682907538
IL20 224071_at,0.11318739826567793
FADS1 /// MIR1908 208964_s_at,0.11307245159387547
HSD3B1 241111_at,0.11191538582990376
LCN2 212531_at,0.11178606478998458
CHRM3 242488_at,0.11016572108431506
DEFB103A /// DEFB103B 224239_at,0.10995238946080185
RNASE7 234699_at,0.10989549198655503
SCGB2A1 205979_at,0.10930316251826468
THRSP 229476_s_at,0.10873727943336615
IFI44L 204439_at,0.10853156963527211
CXCL2 209774_x_at,0.1077011223413675
ISG15 205483_s_at,0.10705681008879459
IDO1 210029_at,0.10701535266299245
VNN3 220528_at,0.10694001800788239
IL36A 221404_at,0.10621137652597089
FADS1 /// MIR1908 208963_x_at,0.10475826367662831
